Subject,Timestamp,Age,"Occupation (ex. student, accountant, engineer)",How much time you spend outdoors?,Ad 1,Ad 2,Ad 3 ,Ad 4,Ad 5,Ad 6,Ad 7,Ad 8,Ad 9,Ad 10,Ad 11,Ad 12,Ad 13,Ad 14,Ad 15,Ad 16,Ad 17,Ad 18,Ad 19,Ad 20,Ad 21,Ad 22,Ad 23,Ad 24,Ad 25,Ad 26,Ad 27,Ad 28 ,Ad 29,Ad 30,Ad 31,Ad 32,Ad 33,Ad 34,Ad 35,Ad 36,Ad 37,Ad 38,Ad 39,Ad 40,Ad 41,Ad 42,Ad 43,Ad 44,Ad 45,Ad 46,Ad 47,Ad 48,Ad 49,Ad 50,Ad 51,Ad 52,Ad 53,Ad 54,Ad 55,Ad 56
1,12/7/2022 17:26,22,unemployed,3-4 hours a week,4,5,3,8,6,2,3,2,1,5,7,3,1,8,3,2,9,5,4,2,2,2,3,2,6,4,1,1,6,6,6,3,1,7,4,4,3,1,1,3,4,3,7,4,3,5,1,3,3,5,2,6,3,2,2,1
2,12/7/2022 17:26,22,Behavioral Therapist ,1-2 hours a week,1,1,1,1,5,1,1,1,1,1,6,1,1,8,1,1,10,9,1,1,9,1,8,1,10,10,1,1,1,1,10,9,4,2,6,1,1,1,1,8,1,1,1,1,1,10,1,1,1,6,1,1,1,1,1,1
3,12/7/2022 17:27,20,student,3-4 hours a week,7,9,8,7,4,3,8,4,8,9,8,3,4,4,9,7,7,5,7,7,4,7,5,5,4,9,9,9,9,4,7,8,4,8,8,8,7,5,8,7,8,7,7,7,6,9,9,9,8,4,7,7,4,5,8,6
4,12/7/2022 17:27,21,"student, product designer",3-4 hours a week,2,8,7,2,2,7,6,2,2,1,4,7,1,1,6,2,8,2,2,5,3,2,3,3,3,7,1,1,6,8,9,3,5,2,2,2,1,6,2,2,1,5,2,1,5,4,1,1,2,8,3,6,7,3,3,1
5,12/7/2022 17:28,21,Student,1-2 hours a week,3,10,4,7,3,10,10,7,9,5,4,10,10,10,8,4,6,8,4,6,8,1,6,5,7,8,7,1,5,10,9,5,7,8,5,4,6,8,3,7,2,1,5,3,8,10,1,5,3,3,6,10,9,8,4,10
6,12/7/2022 17:28,21,student,1-2 hours a week,8,8,8,6,5,4,8,6,3,5,7,7,3,7,9,4,8,6,7,6,7,6,7,6,8,9,4,8,7,8,8,8,7,7,8,9,6,1,7,8,7,6,7,8,8,7,2,8,8,8,8,7,8,8,8,1
7,12/7/2022 17:28,24,Reseach,5-6 hours a week,2,7,3,8,8,5,7,2,4,7,7,7,3,5,4,3,5,7,6,5,7,2,6,2,7,8,1,2,6,7,8,8,7,6,6,3,1,3,1,6,2,2,5,4,6,8,3,3,5,7,5,6,5,4,5,3
8,12/7/2022 17:29,21,student,7+ hours a week,7,8,6,10,10,10,9,7,10,8,7,10,5,9,9,10,9,8,6,8,6,6,8,10,8,9,7,5,7,9,10,8,10,8,7,5,4,7,6,7,5,2,5,6,4,6,1,5,6,6,6,6,7,6,5,5
9,12/7/2022 17:29,20,Student,3-4 hours a week,8,8,4,9,9,8,9,5,10,10,10,10,7,10,3,8,10,10,10,10,9,4,10,3,10,8,4,4,9,9,8,9,9,9,9,4,5,9,8,8,8,1,8,3,10,10,1,7,4,9,9,9,8,9,7,5
10,12/7/2022 17:30,22,Student,3-4 hours a week,10,10,10,10,10,10,10,10,10,3,10,3,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,1,1,4,3,3,1,10,10,10,10,10,5,3,5,7,7,8,10,10,1
